_id,nombre_localidad,nombre_playa,nombre_provincia
1500401,Ares,ares,A Coruña
1500403,Ares,seselle,A Coruña
1500501,Arteixo,barranan,A Coruña
1500801,Bergondo,gandario,A Coruña
1501101,Boiro,barrana,A Coruña
1501103,Boiro,manons,A Coruña
1501501,Cabanas,magdalena-cabanas,A Coruña
1501602,Camariñas,arou,A Coruña
1501902,Carballo,razo-baldaio,A Coruña
1590101,Cariño,a-concha-carino,A Coruña
1502001,Carnota,carnota,A Coruña
1502202,Cedeira,magdalena,A Coruña
1502301,Cee,estorde,A Coruña
1502802,Corcubión,quenxe,A Coruña
1503005,"Coruña, A",riazor-orzan,A Coruña
1503401,Dumbría,ezaro,A Coruña
1503603,Ferrol,doninos,A Coruña
1503608,Ferrol,san-xurxo,A Coruña
1503701,Fisterra,langosteira,A Coruña
1503707,Fisterra,sardineiro,A Coruña
1504101,"Laracha, A",caion,A Coruña
1504001,Laxe,laxe,A Coruña
1504303,Malpica de Bergantiños,barizo,A Coruña
1504302,Malpica de Bergantiños,maior-malpica,A Coruña
1504402,Mañón,bares,A Coruña
1504801,Miño,grande-de-mino,A Coruña
1504803,Miño,perbes,A Coruña
1505303,Muros,esteiro,A Coruña
1505301,Muros,san-francisco,A Coruña
1505202,Muxía,lago,A Coruña
1505205,Muxía,lourido,A Coruña
1505204,Muxía,os-muinos-area-maior,A Coruña
1505701,Noia,boa-grande,A Coruña
1505703,Noia,testal,A Coruña
1505801,Oleiros,bastiagueiro,A Coruña
1505802,Oleiros,mera,A Coruña
1505803,Oleiros,santa-cristina,A Coruña
1506101,Ortigueira,espasante,A Coruña
1506102,Ortigueira,morouzos,A Coruña
1506201,Outes,brona,A Coruña
1506701,"Pobra do Caramiñal, A",areal,A Coruña
1506702,"Pobra do Caramiñal, A",cabio-lombina,A Coruña
1506802,Ponteceso,balares,A Coruña
1506803,Ponteceso,hermida,A Coruña
1506901,Pontedeume,ber,A Coruña
1507101,Porto do Son,aguieira,A Coruña
1507110,Porto do Son,as-furnas,A Coruña
1507111,Porto do Son,barona,A Coruña
1507104,Porto do Son,coira,A Coruña
1507109,Porto do Son,queiruga,A Coruña
1507202,Rianxo,tanxil,A Coruña
1507304,Ribeira,coroso,A Coruña
1507305,Ribeira,corrubedo,A Coruña
1507302,Ribeira,o-castro-aguino,A Coruña
1507507,Sada,sada,A Coruña
1507506,Sada,san-pedro,A Coruña
1508701,Valdoviño,frouxeira,A Coruña
0301101,"Alfàs del Pi, l'",raco-de-l-albir,Alacant/Alicante
0301408,Alicante/Alacant,el-postiguet,Alacant/Alicante
0301410,Alicante/Alacant,saladar,Alacant/Alicante
0301401,Alicante/Alacant,sant-joan-san-juan,Alacant/Alicante
0301809,Altea,cap-blanch,Alacant/Alicante
0301808,Altea,la-roda,Alacant/Alicante
0303102,Benidorm,llevant-playa-de-levante,Alacant/Alicante
0303104,Benidorm,ponent-playa-de-poniente,Alacant/Alicante
0304105,Benissa,cala-fustera,Alacant/Alicante
0304709,Calp,arenal-bol,Alacant/Alicante
0304707,Calp,cantal-roig,Alacant/Alicante
0304704,Calp,la-fossa,Alacant/Alicante
0305013,"Campello, el",carrer-la-mar,Alacant/Alicante
0306308,Dénia,les-boves-les-marines,Alacant/Alicante
0306301,Dénia,les-devesses,Alacant/Alicante
0306310,Dénia,marineta-cassiana,Alacant/Alicante
0306502,Elche/Elx,arenales-del-sol,Alacant/Alicante
0306505,Elche/Elx,la-marina-les-pesqueres-el-rebollo,Alacant/Alicante
0306901,Finestrat,finestrat-la-cala,Alacant/Alicante
0307605,Guardamar del Segura,centro-la-roqueta,Alacant/Alicante
0308204,Jávea/Xàbia,el-arenal,Alacant/Alicante
