_id,nombre_playa,provincia,id_costa
1133,Cala Taps,Barcelona,
1132,Kalima,Barcelona,
1131,Aiguablava,Girona,
1130,Sa Riera,Girona,
1129,Raco,Girona,
1128,El Cabo,Cantabria,3908004
1127,Meron,Cantabria,3908004
1126,La Nova,Girona,
1125,La Punta,Girona,
1124,Canyelles,Girona,
1123,Palangres,Girona,
1122,Salatar,Girona,
1120,Oyambre,Cantabria,3909101
1119,Vederna - Gerra,Cantabria,3908004
1118,El Rosal,Cantabria,3908004
1117,El Tostadero,Cantabria,3908004
1114,Muga,Girona,
1113,Rubina,Girona,
1112,Pasarela,Girona,
1111,Montgó,Girona,
1110,Sant Marti,Girona,
1109,Riells,Girona,
1108,Playa Del Bollullo,Tenerife,
1107,Playa Del Ancon,Tenerife,
1106,Los Quebrantos,Asturias,
1105,Poniente Ii,Murcia,
1101,Figueiras En Islas Cies,Pontevedra,
1099,Argazada,Pontevedra,
1095,Fortiñon,Pontevedra,
1094,O Vao,Pontevedra,
1093,Rodas En Islas Cies,Pontevedra,
1092,Samil,Pontevedra,
1090,Sant Feliu,Girona,
1088,Almadrava,Girona,
1076,La Entrevista,Murcia,
1075,La Serena,Murcia,
1074,La Rabiosa,Murcia,
1073,Las Delicias Ii,Murcia,
1072,Bolnuevo-Centro,Murcia,
1071,La Reya-La Pava,Murcia,
1070,La Reya-Bahia,Murcia,
1069,Playa Del Puertito De Guimar,Tenerife,
1040,Roca Del Gaià,Tarragona,
1034,La Machina,Cantabria,3907902
1033,San Martin,Cantabria,3907902
1032,Berria 3,Cantabria,3907902
1031,Berria 2,Cantabria,3907902
1023,Molins,Alicante,306308
1022,La Almadrava,Alicante,306301
1014,Cuberris,Cantabria,3901102
997,Somorrostro,Barcelona,
996,Muriola,Bizkaia/Vizcaya,
992,Port Pelegrí,Girona,
985,Saturraran,Gipuzkoa,
984,Puerto,Gipuzkoa,
982,Itzurun,Gipuzkoa,
981,Santiago,Gipuzkoa,
980,Antilla,Gipuzkoa,
979,Santa Margarida,Girona,
973,Cala Boix,Baleares,
967,Tarajal,Ceuta,
961,Arenal De Moris,Asturias,
960,Espasa,Asturias,
958,Punta D'En Guineu,Tarragona,
956,La Higuerica,Murcia,
955,Matalentisco,Murcia,
954,Moreres,Barcelona,
952,Les Rotes/Trampoli,Alicante,306310
